ip,finger,hash,name,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias
7d23e24,2ade582,764cf5d767b848f24eb85edd7c3aad8e,71753884,Protector Aasimar,Acolyte,9/27/2020 12:28,Monk 20,Monk,Way of the Four Elements,20,,143,16,17,20,15,8,13,12,,Acrobatics|History|Religion|Insight,Sling|Dart|Unarmed Strike,,Int,elemental disciplines/Fist of Four Thunders*Gong of the Summit*Flames of the Phoenix*Eternal Mountain Defense,Canada,CA,,NA,NA,Aasimar,,Sling|Dart|Unarmed Strike,19-20,trusting_golick
8fdea9f,8f4de93,1a2dfe646947e1dae727e62cb67169e3,d111bbe8,Elephantine,Criminal,9/25/2020 23:11,Wizard 20,Wizard,Graviturgy,20,Tough|Spell Sniper,222,19,14,11,20,20,10,14,,Stealth|Arcana|History|Deception,Quarterstaff,Burning Hands*1|Charm Person*1|Unseen Serv*1|Feather Fall*1|Knock*2|Shatter*2|Blur*2|Counter Spell*3|Sleet Storm*3|Haste*3|Fly*3|Banish*4|Polymorph*4|Private Sanctum*4|Gravity Sinkhole*4|Animateobjects*5|Dominate Person*5|Cloudkill*5|Gravity Fissure*6|True Seeing*6|Etherlness*7|Finger Of Death*7|Dark Star*8|Ravenous Void*9,Int,,United States,US,,NA,NA,Loxodon,Burning Hands*1|Charm Person*1|Unseen Servant*1|Feather Fall*1|Knock*2|Shatter*2|Blur*2|Counterspell*3|Sleet Storm*3|Haste*3|Fly*3|*|Polymorph*4|Ice Storm*4|Grasping Vine*4|Animate Objects*5|Dominate Person*5|Cloudkill*5|*|True Seeing*6|Etherealness*7|Finger of Death*7|*|*,Quarterstaff,19-20,goofy_kalam
519e6ca,,2b86b8c23f98a018f79f18a1b857b82a,308235b2,Earth Genasi,Grand Minstrel,9/17/2020 21:57,Bard 20,Bard,College of Glamour,20,Tough|Magic Initiate|Alert,240,10,14,11,15,13,12,15,,Nature|Deception|Intimidation|Performance|Persuasion,Club|Dagger,,Cha,expertise/Performance*Intimidation*Persuasion*Deception,United States,US,,NA,NA,Genasi,,Club|Dagger,19-20,amazing_shockley
,615ec4c,2df6baf99f24bdfb9df391708d898c69,e7bb9660,Protector Aasimar,Acolyte,9/12/2020 19:53,Cleric 20,Cleric,Tempest Domain,20,Elemental Adept|War Caster|Martial Adept,143,14,15,15,15,14,20,16,,History|Religion|Insight|Persuasion,Warhammer,Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4|Destructive Wave*5|Insect Plague*5,Wis,combat superiority maneuvers/Goading Attack,Canada,CA,,NA,NA,Aasimar,Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4|Destructive Wave*5|Insect Plague*5,Warhammer,19-20,boring_perlman
6236717,c97b7e7,2dc883ef24f63817960ff15d6b0f1fa1,8eb6c43d,Hill Dwarf,Acolyte,9/3/2020 23:47,Cleric 20,Cleric,Light Domain,20,War Caster|Heavily Armored|Tough,270,23,13,14,18,8,18,8,,History|Religion|Insight|Medicine,Warhammer,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5,Wis,,Canada,CA,,NA,NA,Dwarf,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5,Warhammer,19-20,silly_lamarr
6236717,c97b7e7,2f3c80ba26f4c316cc9fc3eeced09aca,b913774d,Goliath,Knight,9/3/2020 21:41,Monk 20,Monk,Way of the Open Hand,20,,153,18,14,19,14,10,19,10,,Athletics|Acrobatics|Stealth|Persuasion,Dart|Unarmed Strike,,Int,,Canada,CA,,NA,NA,Goliath,,Dart|Unarmed Strike,19-20,competent_noether
6236717,c97b7e7,afe6a481f056e53128f224ce299cbfbb,6cd9db84,Hill Dwarf,Acolyte,9/3/2020 21:39,Cleric 20,Cleric,Light Domain,20,War Caster|Dwarven Fortitude|Tough,300,12,14,10,19,10,18,8,,History|Religion|Insight|Medicine,Warhammer,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5,Wis,,Canada,CA,,NA,NA,Dwarf,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5,Warhammer,19-20,adoring_euler
8e08cc1,,78c9f676d9093cd2157bf689a8db5b4a,eebe0222,Leonine,Noble,8/27/2020 0:19,Paladin 20,Paladin,Oath of Conquest,20,War Caster|Resilient|Sentinel,204,19,18,18,18,12,12,16,,Athletics|History|Insight|Perception|Persuasion,Longsword|Javelin,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Cha,fighting style/Defense,NA,NA,,NA,NA,Leonin,*|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Longsword|Javelin,19-20,condescending_engelbart
dcb35c2,88f7abc,9a1bc8dc524a4a554611f0d2a1f7825a,6379fe7f,Human,Sage,8/25/2020 11:51,Cleric 20,Cleric,Death Domain,20,War Caster,120,17,10,12,12,14,20,16,LM,Arcana|History|Religion|Medicine|Persuasion,"Warhammer|Crossbow, light",False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5,Wis,,NA,NA,,NA,NA,Human,False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5,"Warhammer|Crossbow, Light",19-20,frosty_jang
,98ae31a,240d85eb0070dd6442e28f049c532b46,141ae626,Hill Dwarf,Folk Hero,8/6/2020 2:22,Fighter 20,Fighter,Samurai,20,Tough|Durable|Weapon Master,284,16,21,15,21,8,9,8,,Athletics|Animal Handling|Insight|Survival|Intimidation,"Halberd|Crossbow, light",,Int,fighting style/Great Weapon Fighting,Canada,CA,,NA,NA,Dwarf,,"Halberd|Crossbow, Light",19-20,hopeful_mccarthy
,98ae31a,84fad6e38ce891abea7fa84b2126494a,e0ad37bb,Lightfoot Halfling,Charlatan,8/6/2020 2:21,Rogue 20,Rogue,Assassin,20,Skulker|Savage Attacker,203,16,8,20,20,8,15,9,,Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Sleight of Hand*Perception*Acrobatics,Canada,CA,,NA,NA,Halfling,,Rapier|Shortbow|Dagger,19-20,cool_mestorf
,98ae31a,aba1d3f33e3291efaef8a152e07a9019,ee932c85,Half-Orc,Outlander,8/6/2020 2:21,Barbarian 20,Barbarian,Path of the Berserker,20,Tough|Mobile,305,20,22,18,22,8,8,8,,Athletics|Nature|Animal Handling|Survival|Intimidation,Greataxe|Handaxe|Javelin,,Int,,Canada,CA,,NA,NA,Half-Orc,,Greataxe|Handaxe|Javelin,19-20,awesome_noyce
,98ae31a,c9cd14df80bbc980eaec4fa7f7a7a54e,931e7652,Tiefling,Acolyte,8/6/2020 2:20,Monk 20,Monk,Way of the Long Death,20,Mage Slayer,166,18,8,20,16,9,17,10,,Athletics|Acrobatics|Religion|Insight,Quarterstaff|Dart|Unarmed strike,,Int,tiefling variants menu/Winged,Canada,CA,,NA,NA,Tiefling,,Quarterstaff|Dart|Unarmed Strike,19-20,happy_galois
,98ae31a,0ce906d0bdcd9884dca566b9adcd56fa,8136ce11,High Elf,Acolyte,8/6/2020 2:18,Monk 20,Monk,Way of the Sun Soul,20,,163,20,8,20,17,9,20,8,,Athletics|Acrobatics|Religion|Insight|Perception,Shortsword|Dart|Unarmed strike,,Int,,Canada,CA,,NA,NA,Elf,,Shortsword|Dart|Unarmed Strike,19-20,unruffled_dewdney
7d366c7,5a667ab,4944991799aa7ea5c7a2aacb4cde71da,338704be,Half-Elf,Custom,7/24/2020 12:13,Barbarian 20,Barbarian,Path of the Storm Herald,20,Alert|Elven Accuracy,274,21,24,18,24,10,13,11,,Nature|Insight|Perception|Survival|Intimidation|Persuasion,Greataxe|Handaxe|Javelin,,Int,,Israel,IL,,NA,NA,Half-Elf,,Greataxe|Handaxe|Javelin,19-20,friendly_elion
818d895,d68edcb,09f650fdaac66d74599b09fa12a7d1b6,18a453d7,Half-Orc,Noble,7/12/2020 16:05,Cleric 20,Cleric,Forge Domain,20,Heavy Armor Master,186,21,20,10,18,12,20,9,,History|Insight|Medicine|Intimidation|Persuasion,"Crossbow, light|Defender +3",Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5,Wis,,United States,US,,NA,NA,Half-Orc,Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5,"Crossbow, Light|",19-20,stoic_poincare
a279154,9bc0ff1,c78cdaa137534ad8bb14196e25ac09c5,f5b923c9,Human,Mercenary Veteran,6/11/2020 23:32,Paladin 20,Paladin,Oath of Conquest,20,,271,20,29,20,20,18,16,20,lawfull neutral ,Athletics|Insight|Intimidation|Persuasion,Handaxe|Warhammer Of Thunder And Lightning,Armor of Frost*1|Command*1|Thunderous Smite*1|Searing Smite*1|Divine Favor*1|Cure wounds *1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Cha,fighting style/Dueling,United States,US,LN,NA,NA,Human,*|Command*1|Thunderous Smite*1|Searing Smite*1|Divine Favor*1|Cure Wounds*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Handaxe|Warhammer,19-20,confident_blackburn
d2fa1d1,b64c5af,619d2926562813d238284ae74e7a96f9,a554c182,Mountain Dwarf,Hermit,6/9/2020 17:41,Sorcerer 20,Sorcerer,Draconic Bloodline,20,,202,24,12,12,20,10,11,20,,Arcana|Religion|Medicine|Persuasion,"Crossbow, light|Dagger|Warhammer Of Chaos ","Ray of Frost*0|Frostbite*0|Mending*0|Fire Bolt*0|Prestidigitation*0|Chill Touch*0|Ice Knife*1|Chromatic Orb*1|False Life*1|Magic Missile*1|Shield*1|Snilloc's Snowball Storm*2|Dragon's Breath*2|Lightning Bolt*3|Mirror Image*3|Ice Storm*4|Animate Objects*5|Sunbeam*6|Prismatic Spray

*7|Power Word: Stun*8|Gate*9",Cha,metamagic/Twinned Spell*Quickened Spell*Careful Spell*Empowered Spell,United States,US,,NA,NA,Dwarf,Ray of Frost*0|Frostbite*0|Mending*0|Fire Bolt*0|Prestidigitation*0|Chill Touch*0|Ice Knife*1|Chromatic Orb*1|False Life*1|Magic Missile*1|Shield*1|Snilloc's Snowball Swarm*2|Dragon's Breath*2|Lightning Bolt*3|*|Ice Storm*4|Animate Objects*5|Sunbeam*6|Prismatic Spray*7|Power Word Stun*8|Gate*9,"Crossbow, Light|Dagger|Warhammer",19-20,zen_leavitt
937ffe6,21e981a,04418764ec85e0909a7c32f9bbfacb12,288b5a88,Lightfoot Halfling,Folk Hero,6/6/2020 3:41,Warlock 20,Warlock,The Celestial,20,Lucky|Observant|War Caster,200,14,12,14,14,13,16,20,,Arcana|Nature|Animal Handling|Survival|Deception|Persuasion,"Crossbow, light|Quarterstaff|Dagger",Light*0|Sacred Flame*0,Cha,pact boon/Pact of the Tome|eldritch invocations/Fiendish Vigor*Agonizing Blast*Book of Ancient Secrets*Sculptor of Flesh*Ghostly Gaze*Armor of Shadows*Beguiling Influence*Minions of Chaos,United States,US,,NA,NA,Halfling,Light*0|Sacred Flame*0,"Crossbow, Light|Quarterstaff|Dagger",19-20,priceless_fermi
ceb604d,49be15a,28041c11fded5b9e622c03dfd8a26476,3aa8b608,Variant,Noble,5/13/2020 6:04,Paladin 20,Paladin,Oath of Devotion,20,Polearm Master|Tough,300,19,20,14,16,12,11,18,,History|Religion|Intimidation|Persuasion,Glaive|Longsword|Javelin,Prestidigitation*0|Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,Cha,fighting style/Defense,NA,NA,,NA,NA,Half-Elf,Prestidigitation*0|Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,Glaive|Longsword|Javelin,19-20,confident_perlman
,,31002b6cabf1bb969d065ea040d608b8,168f07f0,Human,Sage,5/9/2020 19:32,Wizard 20,Wizard,School of Evocation,20,Elemental Adept|Spell Sniper,141,23,8,18,19,20,12,8,,Arcana|History|Investigation|Religion|Perception,Dagger,Acid Splash*0|Chill Touch*0|Ray of Frost*0|Prestidigitation*0|Firebolt*0|Mage Hand*0|Burning Hands*1|Comprehend Languages (R)*1|Detect Magic (R)*1|Find Familiar (R)*1|Hideous Laughter*1|Magic Missile*1|Shield (reaction)*1|Identify (R)*1|Scorching Ray*2|Shatter*2|Flaming Sphere*2|Misty Step*2|Fireball*3|Fly*3|Dispel Magic*3|Counterspell*3|Wall of Fire*4|Conjure Minor Elementals*4|Polymorph*4|Stone Shape*4|Wall of Force*5|Arcane Hand*5|Cone of Cold*5|Passwall*5|Chain Lightning*6|Sunbeam*6|Flesh to Stone*6|Globe of Invulnerability*6|Delayed Blast Fireball*7|Forcecage*7|Planeshift*7|Teleport*7|Incendiary Cloud*8|Sunburst*8|Feeblemind*8|Maze*8|Meteor Swarm*9|Wish*9,Int,,Canada,CA,,NA,NA,Human,Acid Splash*0|Chill Touch*0|Ray of Frost*0|Prestidigitation*0|Fire Bolt*0|Mage Hand*0|Burning Hands*1|Comprehend Languages*1|Detect Magic*1|Find Familiar*1|Tasha's Hideous Laughter*1|Magic Missile*1|*|Identify*1|Scorching Ray*2|Shatter*2|Flaming Sphere*2|Misty Step*2|Fireball*3|Fly*3|Dispel Magic*3|Counterspell*3|Wall of Fire*4|Conjure Minor Elementals*4|Polymorph*4|Stone Shape*4|Wall of Force*5|Bigby's Hand*|Cone of Cold*5|Passwall*5|Chain Lightning*6|Sunbeam*6|Flesh to Stone*6|Globe of Invulnerability*6|Delayed Blast Fireball*7|Forcecage*7|Plane Shift*7|Teleport*7|Incendiary Cloud*8|Sunburst*8|Feeblemind*8|Maze*8|Meteor Swarm*9|Wish*9,Dagger,19-20,bold_mccarthy
47b1ce2,a50747e,4908e61054756710fd827eac244a9b36,0568bf99,Kenku,Clan Crafter,4/18/2020 22:36,Warlock 20,Warlock,The Great Old One,20,Actor|War Caster,220,16,12,20,16,14,14,21,,Stealth|Arcana|History|Religion|Insight|Deception,"Crossbow, light|Dagger|Dagger",,Cha,pact boon/Pact of the Tome|eldritch invocations/Mask of Many Faces*Eyes of the Rune Keeper*Agonizing Blast*Book of Ancient Secrets*Bewitching Whispers*Maddening Hex*Shroud of Shadow*Witch Sight,NA,NA,,NA,NA,Kenku,,"Crossbow, Light|Dagger|Dagger",19-20,stoic_ramanujan
918e3e0,ff3e743,d9115aad3deb53f0988350d0fef8aa84,09ed6fd5,Elephantine,Faction Agent,3/30/2020 3:24,Cleric 20,Cleric,Life Domain,20,War Caster|Lucky|Shield Master,243,18,22,17,24,21,27,18,,History|Religion|Insight|Persuasion,"Mace|Crossbow, light",Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Wis,,NA,NA,,NA,NA,Loxodon,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,"Mace|Crossbow, Light",19-20,sad_cannon
918e3e0,ff3e743,2ecbf2525f371e9b2d994991b11f9c97,212aa9ee,Lightfoot Halfling,Faction Agent,3/30/2020 3:10,Cleric 20,Cleric,Life Domain,20,War Caster,223,18,22,20,22,21,26,20,,History|Religion|Insight|Medicine,"Mace|Crossbow, light",Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Wis,,NA,NA,,NA,NA,Halfling,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,"Mace|Crossbow, Light",19-20,goofy_stallman
,cd7be8a,a1d8573ec6ebeea6e5b2a28a2c72ae7e,6e4905b9,Scourge Aasimar,Far Traveler,3/22/2020 18:25,Sorcerer 20,Sorcerer,Storm Sorcery,20,,138,10,8,10,16,10,12,20,Lawful Good,Religion|Insight|Perception|Intimidation,"Crossbow, light|Dagger|Dagger +1|Skyblinder Staff +1",,Cha,metamagic/Twinned Spell*Empowered Spell*Careful Spell*Heightened Spell,Canada,CA,LG,NA,NA,Aasimar,,"Crossbow, Light|Dagger|Dagger|",19-20,dazzling_ride
